N,D,bonus,condition,seed,update,eat0,eat1,selectivity,zaps,ret
12,100,0.5,none,0,0,59.72265625,61.50390625,0.0,40.14453125,-11.669726371765137
12,100,0.5,none,0,1,61.3828125,60.625,0.0,39.83203125,-11.908366203308105
12,100,0.5,none,0,2,61.2578125,60.94921875,0.0,39.578125,-11.841081619262695
12,100,0.5,none,0,3,63.53515625,60.8671875,0.0,38.95703125,-12.078288078308105
12,100,0.5,none,0,4,64.109375,60.296875,0.0,38.28515625,-12.211230278015137
12,100,0.5,none,0,5,64.57421875,60.59375,0.0,38.35546875,-12.1650390625
12,100,0.5,none,0,6,67.19921875,60.8046875,0.0,37.1015625,-12.35693359375
12,100,0.5,none,0,7,67.89453125,62.33984375,0.0,36.08203125,-12.110026359558105
12,100,0.5,none,0,8,69.26171875,63.99609375,0.0,35.515625,-11.964811325073242
12,100,0.5,none,0,9,70.47265625,65.04296875,0.0,34.7109375,-12.038118362426758
12,100,0.5,none,0,10,71.8828125,67.9921875,0.0,34.18359375,-11.94502067565918
12,100,0.5,none,0,11,73.94921875,69.953125,0.0,33.4765625,-12.007780075073242
12,100,0.5,none,0,12,75.28125,72.65234375,0.0,32.7734375,-11.615625381469727
12,100,0.5,none,0,13,77.7734375,75.390625,0.0,31.8828125,-11.58056640625
12,100,0.5,none,0,14,77.65234375,78.140625,0.0,31.88671875,-11.444791793823242
12,100,0.5,none,0,15,81.48046875,79.96484375,0.0,31.421875,-11.46044921875
12,100,0.5,none,0,16,81.390625,83.30078125,0.0,31.03515625,-11.248014450073242
12,100,0.5,none,0,17,82.86328125,86.1640625,0.0,30.99609375,-11.106184005737305
12,100,0.5,none,0,18,84.43359375,88.28515625,0.0,30.28515625,-10.834733963012695
12,100,0.5,none,0,19,85.8359375,89.0625,0.0,29.63671875,-11.067610740661621
12,100,0.5,none,0,20,85.75,91.203125,0.0,29.30859375,-10.923404693603516
12,100,0.5,none,0,21,88.12109375,91.11328125,0.0,28.39453125,-10.872037887573242
12,100,0.5,none,0,22,88.97265625,93.375,0.0,27.0859375,-10.930143356323242
12,100,0.5,none,0,23,87.640625,95.375,0.0,26.2890625,-10.164355278015137
12,100,0.5,none,0,24,90.9296875,95.2734375,0.0,25.4921875,-10.664387702941895
12,100,0.5,none,0,25,91.26953125,96.5703125,0.0,24.77734375,-10.420116424560547
12,100,0.5,none,0,26,93.140625,96.61328125,0.0,24.1328125,-10.450000762939453
12,100,0.5,none,0,27,93.98828125,96.6171875,0.0,23.87890625,-10.639452934265137
12,100,0.5,none,0,28,94.69921875,98.26171875,0.0,23.2421875,-10.530176162719727
12,100,0.5,none,0,29,97.046875,96.76953125,0.0,23.0390625,-10.873664855957031
12,100,0.5,none,0,30,95.64453125,98.44921875,0.0,22.8359375,-10.408073425292969
12,100,0.5,none,0,31,96.41796875,96.62890625,0.0,22.4453125,-10.834440231323242
12,100,0.5,none,0,32,95.54296875,98.0,0.0,22.328125,-10.696126937866211
12,100,0.5,none,0,33,94.625,99.59765625,0.0,22.49609375,-10.192708015441895
12,100,0.5,none,0,34,95.42578125,100.2734375,0.0,21.90625,-10.059114456176758
12,100,0.5,none,0,35,94.484375,100.00390625,0.0,22.0078125,-10.112044334411621
12,100,0.5,none,0,36,96.015625,98.96484375,0.0,22.41015625,-10.542936325073242
12,100,0.5,none,0,37,96.07421875,97.42578125,0.0,22.37890625,-10.568066596984863
12,100,0.5,none,0,38,95.3125,97.70703125,0.0,22.15234375,-10.444597244262695
12,100,0.5,none,0,39,95.8359375,98.515625,0.0,22.296875,-10.341243743896484
12,100,0.5,none,0,40,95.6953125,98.234375,0.0,22.25,-10.686491012573242
12,100,0.5,none,0,41,96.8046875,98.8828125,0.0,22.34765625,-10.803190231323242
12,100,0.5,none,0,42,95.71875,98.4921875,0.0,22.57421875,-10.49531364440918
12,100,0.5,none,0,43,95.62109375,99.140625,0.0,22.6875,-10.660513877868652
12,100,0.5,none,0,44,94.21875,98.76953125,0.0,23.61328125,-10.55078125
12,100,0.5,none,0,45,94.50390625,99.046875,0.0,23.35546875,-10.450325012207031
12,100,0.5,none,0,46,94.4609375,99.0625,0.0,23.78515625,-10.530241012573242
12,100,0.5,none,0,47,93.7421875,99.703125,0.0,23.67578125,-10.449934959411621
12,100,0.5,none,0,48,94.2265625,97.50390625,0.0,24.16796875,-10.832975387573242
12,100,0.5,none,0,49,94.26171875,98.85546875,0.0,23.7421875,-10.646647453308105
12,100,0.5,none,0,50,93.85546875,99.0625,0.0,24.0078125,-10.623014450073242
12,100,0.5,none,0,51,93.54296875,99.55859375,0.0,23.98828125,-10.502571105957031
