N,D,bonus,condition,seed,update,eat0,eat1,selectivity,zaps,ret
12,100,4,none,0,0,59.76953125,61.43359375,0.0,40.125,0.03242286294698715
12,100,4,none,0,1,60.94140625,62.2109375,0.0,40.78515625,-0.035220544785261154
12,100,4,none,0,2,61.80078125,63.04296875,0.0,41.59765625,-0.026366233825683594
12,100,4,none,0,3,62.51171875,64.23046875,0.0,42.3125,0.07623784244060516
12,100,4,none,0,4,62.75390625,65.2734375,0.0,43.35546875,0.07184338569641113
12,100,4,none,0,5,62.02734375,66.4765625,0.0,44.23828125,0.2492847442626953
12,100,4,none,0,6,63.1171875,66.99609375,0.0,44.76953125,0.03818456456065178
12,100,4,none,0,7,63.22265625,67.9375,0.0,45.1953125,0.07164812088012695
12,100,4,none,0,8,62.2734375,68.33203125,0.0,46.55859375,0.4585297107696533
12,100,4,none,0,9,62.5859375,69.109375,0.0,47.15625,0.2926444411277771
12,100,4,none,0,10,63.18359375,69.56640625,0.0,47.94921875,0.25309357047080994
12,100,4,none,0,11,62.90625,71.40234375,0.0,48.42578125,0.4581391215324402
12,100,4,none,0,12,63.7734375,71.71875,0.0,49.2265625,0.2864595353603363
12,100,4,none,0,13,63.95703125,71.85546875,0.0,49.73046875,0.4203135371208191
12,100,4,none,0,14,63.16015625,71.69921875,0.0,50.3828125,0.4433930814266205
12,100,4,none,0,15,62.59375,72.765625,0.0,51.28515625,0.7993826866149902
12,100,4,none,0,16,62.65234375,72.1484375,0.0,51.828125,0.5151705145835876
12,100,4,none,0,17,62.59375,72.234375,0.0,52.6015625,0.3819347321987152
12,100,4,none,0,18,62.875,72.15234375,0.0,52.7734375,0.2382497787475586
12,100,4,none,0,19,64.15234375,71.66015625,0.0,52.50390625,-0.032811325043439865
12,100,4,none,0,20,64.0546875,72.203125,0.0,52.88671875,0.006674528121948242
12,100,4,none,0,21,64.50390625,71.4453125,0.0,53.4453125,-0.17024612426757812
12,100,4,none,0,22,62.640625,72.19140625,0.0,53.7421875,-0.07997918128967285
12,100,4,none,0,23,61.953125,71.53515625,0.0,54.4140625,0.1458347737789154
12,100,4,none,0,24,62.5390625,71.55078125,0.0,54.3828125,-0.05895042419433594
12,100,4,none,0,25,62.7109375,71.22265625,0.0,54.76171875,-0.2260402888059616
12,100,4,none,0,26,63.22265625,71.796875,0.0,54.671875,-0.10969924926757812
12,100,4,none,0,27,63.0234375,72.12890625,0.0,54.9921875,-0.09570185840129852
