N,D,bonus,condition,seed,update,eat0,eat1,selectivity,prevalence,zaps,ret
12,100,8.75,none,0,0,59.74609375,61.484375,0.0,0.0,40.140625,-13.339256286621094
12,100,8.75,none,0,1,60.9765625,60.3984375,0.0,0.0,39.79296875,-13.577407836914062
12,100,8.75,none,0,2,62.109375,60.28125,0.0,0.0,39.6328125,-13.591666221618652
12,100,8.75,none,0,3,63.45703125,61.296875,0.0,0.0,38.6953125,-13.573989868164062
12,100,8.75,none,0,4,63.90625,59.98046875,0.0,0.0,38.56640625,-13.8642578125
12,100,8.75,none,0,5,65.2734375,59.5859375,0.0,0.0,37.875,-13.815104484558105
12,100,8.75,none,0,6,66.34375,59.75390625,0.0,0.0,36.64453125,-13.717185974121094
12,100,8.75,none,0,7,67.6640625,60.6328125,0.0,0.0,35.671875,-13.615625381469727
12,100,8.75,none,0,8,68.5625,61.19921875,0.0,0.0,35.2578125,-13.629850387573242
12,100,8.75,none,0,9,70.87890625,62.421875,0.0,0.0,34.3671875,-13.772298812866211
12,100,8.75,none,0,10,71.07421875,65.49609375,0.0,0.0,33.625,-13.232748031616211
12,100,8.75,none,0,11,73.77734375,68.0078125,0.0,0.0,32.14453125,-13.036979675292969
12,100,8.75,none,0,12,74.62890625,70.05078125,0.0,0.0,31.55859375,-12.82421875
12,100,8.75,none,0,13,76.515625,73.54296875,0.0,0.0,30.51171875,-12.555599212646484
12,100,8.75,none,0,14,77.4921875,77.12109375,0.0,0.0,30.21484375,-12.350194931030273
12,100,8.75,none,0,15,79.9453125,79.49609375,0.0,0.0,29.609375,-12.42646598815918
12,100,8.75,none,0,16,81.55859375,81.74609375,0.0,0.0,29.10546875,-12.266862869262695
12,100,8.75,none,0,17,83.12890625,84.6171875,0.0,0.0,28.51953125,-12.180663108825684
12,100,8.75,none,0,18,84.19140625,88.09375,0.0,0.0,28.6640625,-11.774935722351074
12,100,8.75,none,0,19,85.2265625,89.1796875,0.0,0.0,27.2890625,-11.636297225952148
12,100,8.75,none,0,20,87.046875,90.84375,0.0,0.0,27.15234375,-11.591503143310547
12,100,8.75,none,0,21,89.7890625,92.21875,0.0,0.0,25.83203125,-11.754752159118652
12,100,8.75,none,0,22,89.3515625,93.99609375,0.0,0.0,25.28515625,-11.39599609375
12,100,8.75,none,0,23,88.81640625,95.87109375,0.0,0.0,24.171875,-10.974935531616211
12,100,8.75,none,0,24,90.88671875,96.890625,0.0,0.0,22.796875,-10.92109489440918
12,100,8.75,none,0,25,91.18359375,97.43359375,0.0,0.0,22.171875,-10.729751586914062
12,100,8.75,none,0,26,92.51953125,98.921875,0.0,0.0,21.59375,-10.6123046875
12,100,8.75,none,0,27,93.74609375,99.8046875,0.0,0.0,20.5078125,-10.428353309631348
12,100,8.75,none,0,28,96.2578125,99.80078125,0.0,0.0,20.4609375,-10.762923240661621
12,100,8.75,none,0,29,97.4375,98.63671875,0.0,0.0,20.0859375,-11.10302734375
12,100,8.75,none,0,30,98.0390625,99.5,0.0,0.0,19.76953125,-11.096582412719727
12,100,8.75,none,0,31,99.19921875,98.78125,0.0,0.0,19.9765625,-11.013117790222168
12,100,8.75,none,0,32,99.578125,98.59375,0.0,0.0,19.33984375,-11.196060180664062
12,100,8.75,none,0,33,97.97265625,100.4609375,0.0,0.0,19.21484375,-10.99472713470459
12,100,8.75,none,0,34,97.984375,100.8671875,0.0,0.0,19.00390625,-10.688314437866211
12,100,8.75,none,0,35,97.63671875,100.19140625,0.0,0.0,19.109375,-10.573893547058105
12,100,8.75,none,0,36,98.75390625,99.80078125,0.0,0.0,18.48046875,-10.78486442565918
12,100,8.75,none,0,37,98.3359375,98.7734375,0.0,0.0,18.21875,-10.839128494262695
12,100,8.75,none,0,38,98.28125,99.1875,0.0,0.0,17.83203125,-10.814811706542969
12,100,8.75,none,0,39,97.97265625,99.6015625,0.0,0.0,18.0859375,-10.528938293457031
12,100,8.75,none,0,40,98.703125,98.5,0.0,0.0,17.53515625,-10.871711730957031
12,100,8.75,none,0,41,98.58984375,99.30078125,0.0,0.0,17.921875,-10.9619140625
12,100,8.75,none,0,42,98.359375,100.0546875,0.0,0.0,17.86328125,-10.472949981689453
12,100,8.75,none,0,43,98.2265625,99.73828125,0.0,0.0,18.1484375,-10.896778106689453
12,100,8.75,none,0,44,98.2265625,99.1796875,0.0,0.0,18.2421875,-10.984830856323242
12,100,8.75,none,0,45,97.53125,100.15625,0.0,0.0,18.52734375,-10.679590225219727
12,100,8.75,none,0,46,97.71484375,99.87890625,0.0,0.0,19.09765625,-10.790657043457031
12,100,8.75,none,0,47,98.078125,100.4609375,0.0,0.0,18.58984375,-10.889517784118652
12,100,8.75,none,0,48,96.0390625,101.3515625,0.0,0.0,19.265625,-10.648958206176758
12,100,8.75,none,0,49,95.84375,101.24609375,0.0,0.0,19.23828125,-10.705892562866211
12,100,8.75,none,0,50,94.98828125,101.85546875,0.0,0.0,19.68359375,-10.656705856323242
12,100,8.75,none,0,51,93.6796875,100.8828125,0.0,0.0,19.80859375,-10.543718338012695
12,100,8.75,none,0,52,93.90234375,100.62890625,0.0,0.0,20.4921875,-10.789129257202148
12,100,8.75,none,0,53,92.5,101.078125,0.0,0.0,20.85546875,-10.699446678161621
12,100,8.75,none,0,54,93.37890625,100.125,0.0,0.0,20.765625,-10.623308181762695
12,100,8.75,none,0,55,92.9375,100.25,0.0,0.0,21.03515625,-10.739551544189453
12,100,8.75,none,0,56,92.62890625,100.234375,0.0,0.0,20.96484375,-10.611621856689453
12,100,8.75,none,0,57,92.9453125,100.80859375,0.0,0.0,21.12109375,-10.664094924926758
12,100,8.75,none,0,58,94.53125,99.28515625,0.0,0.0,20.9375,-11.009244918823242
12,100,8.75,none,0,59,93.15625,99.7421875,0.0,0.0,20.87109375,-10.621549606323242
12,100,8.75,none,0,60,95.1796875,100.28125,0.0,0.0,20.8515625,-10.762662887573242
12,100,8.75,none,0,61,94.2734375,100.05859375,0.0,0.0,21.078125,-10.731901168823242
12,100,8.75,none,0,62,96.265625,98.36328125,0.0,0.0,20.99609375,-10.833529472351074
12,100,8.75,none,0,63,94.64453125,99.50390625,0.0,0.0,20.890625,-10.681087493896484
