N,D,bonus,condition,seed,update,eat0,eat1,selectivity,prevalence,zaps,ret
12,100,8.75,0,0,0,57.625,60.0625,0.9553174376487732,0.4041336476802826,39.5,-1.4708337783813477
12,100,8.75,0,0,1,57.5,62.0625,0.8513333797454834,0.4014330208301544,42.0625,-2.387500286102295
12,100,8.75,0,0,2,63.1875,57.75,0.9211669564247131,0.42330774664878845,39.75,-3.442708730697632
12,100,8.75,0,0,3,61.4375,63.375,0.9887660145759583,0.41366732120513916,40.1875,-1.6304693222045898
12,100,8.75,0,0,4,60.375,61.5,0.8967713713645935,0.42111459374427795,41.375,-2.359375476837158
12,100,8.75,0,1,0,57.125,59.3125,0.9804556369781494,0.38638603687286377,40.75,-2.372135877609253
12,100,8.75,0,1,1,57.1875,60.125,0.9966692924499512,0.3965660333633423,42.0625,-1.9635422229766846
12,100,8.75,0,1,2,60.125,61.0625,0.9825466871261597,0.41009876132011414,42.5,-0.8677089214324951
12,100,8.75,0,1,3,63.0,58.3125,0.9286046028137207,0.42976588010787964,40.875,-1.9549486637115479
12,100,8.75,0,1,4,65.1875,61.875,0.9100055694580078,0.43989482522010803,40.75,-2.1986985206604004
